열차번호,호선,방향,역사명,급행코드,도착역,예정시간,실제시간,지연시간(분)
8025,8,DOWN,신흥,0,모란,2025-05-29 07:42:30,2025-05-29 07:31:04,-11.433333333333334
4536,4,UP,정왕,0,불암산,2025-05-29 07:30:30,2025-05-29 07:31:04,0.5666666666666667
39,1,DOWN,서울,0,인천,2025-05-29 07:30:00,2025-05-29 07:31:04,1.0666666666666667
612,1,UP,세마,0,청량리,2025-05-29 07:30:30,2025-05-29 07:31:05,0.5833333333333334
8039,8,DOWN,동구릉,0,모란,2025-05-29 07:35:00,2025-05-29 07:31:06,-3.9
8041,8,DOWN,동구릉,0,모란,2025-05-29 07:40:00,2025-05-29 07:31:06,-8.9
1027,1,DOWN,동인천,1,동인천,2025-05-29 07:31:30,2025-05-29 07:31:07,-0.38333333333333336
35,1,DOWN,개봉,0,인천,2025-05-29 07:36:30,2025-05-29 07:31:07,-5.383333333333334
5526,5,UP,거여,0,방화,2025-05-29 07:31:30,2025-05-29 07:31:08,-0.36666666666666664
5020,5,UP,발산,0,방화,2025-05-29 07:30:10,2025-05-29 07:31:08,0.9666666666666667
5028,5,UP,동대문역사문화공원,0,방화,2025-05-29 07:31:00,2025-05-29 07:31:08,0.13333333333333333
5508,5,UP,김포공항,0,방화,2025-05-29 07:31:20,2025-05-29 07:31:08,-0.2
5516,5,UP,종로3가,0,방화,2025-05-29 07:30:50,2025-05-29 07:31:08,0.3
5032,5,UP,마장,0,방화,2025-05-29 07:31:10,2025-05-29 07:31:08,-0.03333333333333333
8039,8,DOWN,구리,0,모란,2025-05-29 07:36:50,2025-05-29 07:31:08,-5.7
5040,5,UP,굽은다리(강동구민회관앞),0,강동,2025-05-29 07:31:00,2025-05-29 07:31:08,0.13333333333333333
5520,5,UP,장한평,0,방화,2025-05-29 07:31:10,2025-05-29 07:31:08,-0.03333333333333333
6031,6,DOWN,삼각지,0,신내,2025-05-29 07:31:30,2025-05-29 07:31:08,-0.36666666666666664
5514,5,UP,공덕,0,방화,2025-05-29 07:30:10,2025-05-29 07:31:08,0.9666666666666667
611,1,DOWN,쌍용(나사렛대),0,신창,2025-05-29 07:31:00,2025-05-29 07:31:09,0.15
4515,4,DOWN,안산,0,오이도,2025-05-29 07:31:00,2025-05-29 07:31:11,0.18333333333333332
8046,8,UP,잠실,0,별내,2025-05-29 07:31:30,2025-05-29 07:31:12,-0.3
625,1,DOWN,제기동,0,신창,2025-05-29 07:30:00,2025-05-29 07:31:13,1.2166666666666666
35,1,DOWN,오류동,0,인천,2025-05-29 07:39:00,2025-05-29 07:31:14,-7.766666666666667
614,1,UP,서정리,0,청량리,2025-05-29 07:31:30,2025-05-29 07:31:14,-0.26666666666666666
3021,3,DOWN,경찰병원,0,오금,2025-05-29 07:30:30,2025-05-29 07:31:15,0.75
3031,3,DOWN,신사,0,오금,2025-05-29 07:30:00,2025-05-29 07:31:16,1.2666666666666666
1035,1,DOWN,역곡,1,동인천,2025-05-29 07:30:00,2025-05-29 07:31:16,1.2666666666666666
418,1,UP,독산,0,광운대,2025-05-29 07:31:30,2025-05-29 07:31:16,-0.23333333333333334
3041,3,DOWN,독립문,0,오금,2025-05-29 07:30:00,2025-05-29 07:31:17,1.2833333333333334
8044,8,UP,강동구청,0,별내,2025-05-29 07:31:40,2025-05-29 07:31:17,-0.38333333333333336
4310,4,UP,대야미,0,불암산,2025-05-29 07:31:00,2025-05-29 07:31:18,0.3
8033,8,DOWN,몽촌토성(평화의문),0,모란,2025-05-29 07:39:30,2025-05-29 07:31:18,-8.2
8033,8,DOWN,강동구청,0,모란,2025-05-29 07:36:50,2025-05-29 07:31:18,-5.533333333333333
8031,8,DOWN,몽촌토성(평화의문),0,모란,2025-05-29 07:34:20,2025-05-29 07:31:18,-3.033333333333333
8031,8,DOWN,강동구청,0,모란,2025-05-29 07:31:40,2025-05-29 07:31:18,-0.36666666666666664
5541,5,DOWN,여의도,0,마천,2025-05-29 07:30:50,2025-05-29 07:31:19,0.48333333333333334
970,1,UP,가능,0,동두천,2025-05-29 07:30:30,2025-05-29 07:31:19,0.8166666666666667
1030,1,UP,주안,1,용산,2025-05-29 07:32:00,2025-05-29 07:31:19,-0.6833333333333333
