호선,방향,역사명,급행코드,sched_train,real_train,예정시간,실제시간,지연시간(분)
1,DOWN,녹천,0,951,,2025-06-09 08:44:00,,
1,DOWN,녹천,0,65,,2025-06-09 08:53:00,,
1,DOWN,녹천,0,67,,2025-06-09 09:01:00,,
1,DOWN,녹천,0,69,,2025-06-09 09:08:30,,
1,DOWN,녹천,0,953,,2025-06-09 09:13:00,,
1,DOWN,녹천,0,71,,2025-06-09 09:20:00,,
1,DOWN,녹천,0,955,,2025-06-09 09:28:00,,
1,DOWN,당정,0,617,617,2025-06-09 07:37:30,2025-06-09 07:37:55,0.4166666666666667
1,DOWN,당정,0,621,621,2025-06-09 08:09:30,2025-06-09 08:10:08,0.6333333333333333
1,DOWN,당정,0,625,625,2025-06-09 08:42:00,2025-06-09 08:43:34,1.5666666666666667
1,DOWN,당정,0,427,427,2025-06-09 09:18:00,2025-06-09 09:21:45,3.75
1,DOWN,당정,0,415,,2025-06-09 07:42:00,,
1,DOWN,당정,0,619,,2025-06-09 07:50:00,,
1,DOWN,당정,0,417,,2025-06-09 07:56:30,,
1,DOWN,당정,0,419,,2025-06-09 08:16:00,,
1,DOWN,당정,0,623,,2025-06-09 08:22:30,,
1,DOWN,당정,0,421,,2025-06-09 08:28:00,,
1,DOWN,당정,0,423,,2025-06-09 08:50:00,,
1,DOWN,당정,0,425,,2025-06-09 08:56:30,,
1,DOWN,당정,0,627,,2025-06-09 09:09:30,,
1,DOWN,당정,0,,413,,2025-06-09 07:31:32,
1,DOWN,대방,0,47,627,2025-06-09 08:29:30,2025-06-09 08:28:56,-0.5666666666666667
1,DOWN,대방,0,801,427,2025-06-09 08:43:00,2025-06-09 08:44:42,1.7
1,DOWN,대방,0,431,631,2025-06-09 09:22:30,2025-06-09 09:22:02,-0.4666666666666667
1,DOWN,대방,0,37,,2025-06-09 07:30:30,,
1,DOWN,대방,0,419,,2025-06-09 07:37:30,,
1,DOWN,대방,0,39,,2025-06-09 07:41:30,,
1,DOWN,대방,0,623,,2025-06-09 07:44:30,,
1,DOWN,대방,0,421,,2025-06-09 07:49:30,,
1,DOWN,대방,0,41,,2025-06-09 07:54:30,,
1,DOWN,대방,0,625,,2025-06-09 07:58:30,,
1,DOWN,대방,0,43,,2025-06-09 08:02:00,,
1,DOWN,대방,0,423,,2025-06-09 08:11:30,,
1,DOWN,대방,0,425,,2025-06-09 08:18:00,,
